ubigeo,distrito,local_codigo,local_nombre,local_direccion,mesa,electores
040112,PAUCARPATA,023001,I.E. Manuel Veramendi,Av. Arequipa 123,023001,250
040112,PAUCARPATA,023001,I.E. Manuel Veramendi,Av. Arequipa 123,023002,248
040112,PAUCARPATA,023001,I.E. Manuel Veramendi,Av. Arequipa 123,023003,251
040112,PAUCARPATA,023005,I.E. Teobaldo Paredes,Calle Grau 456,023004,250
040112,PAUCARPATA,023005,I.E. Teobaldo Paredes,Calle Grau 456,023005,249
040126,YANAHUARA,023101,I.E. San Jose,Calle San Jose 111,023101,250
040126,YANAHUARA,023101,I.E. San Jose,Calle San Jose 111,023102,247
040102,ALTO SELVA ALEGRE,023201,I.E. Nuestra Senora del Pilar,Av. Las Torres 900,023201,250
040501,CHIVAY,028001,I.E. Coronel Francisco Bolognesi,Av. Grau 10,028001,250
040501,CHIVAY,028001,I.E. Coronel Francisco Bolognesi,Av. Grau 10,028002,244
